config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-localized,Adaptive TIA,0.2,100,0.2598663926002056,0.06874027173920047,0.006874027173920047,0.7043179319796173,0.04659569136813438,0.004659569136813438,1.0
BA-localized,Adaptive TIA,0.5,100,0.26274409044193225,0.06877545105929009,0.006877545105929009,0.7110328723168716,0.03445617157415299,0.003445617157415299,1.0
BA-localized,Adaptive TIA,1.0,100,0.25662898252826305,0.07100705962107934,0.007100705962107934,0.7000484719940347,0.037177744286744106,0.0037177744286744107,1.0
BA-localized,Adaptive TIA,2.0,100,0.24847893114080166,0.07581625398142396,0.007581625398142396,0.712545460762914,0.030002458996107387,0.0030002458996107387,1.0
BA-localized,Adaptive TIA,5.0,100,0.2638335046248715,0.07511409777029988,0.007511409777029988,0.7311966677258153,0.029041348147295358,0.0029041348147295356,1.0
BA-localized,Adaptive TIA,10.0,100,0.2553031860226105,0.07578604906359442,0.0075786049063594416,0.7323467200700076,0.025265306957745495,0.0025265306957745494,1.0
BA-localized,Adaptive TIA,20.0,100,0.24309352517985613,0.08273623291258862,0.008273623291258862,0.740183608789418,0.02192963040940377,0.002192963040940377,1.0
BA-localized,Adaptive TIA,50.0,100,0.24035971223021588,0.07429335447179772,0.007429335447179772,0.738041071291368,0.02656396955171451,0.002656396955171451,1.0
BA-localized,Adaptive TIA,100.0,100,0.2511921891058582,0.07410550806797725,0.007410550806797725,0.7422633631737032,0.02160745124607395,0.002160745124607395,1.0
BA-localized,GNN-RL,0.1,100,0.24330935251798563,0.07049440071381685,0.007049440071381685,0.7835328807826093,0.02251471087991459,0.002251471087991459,1.0
BA-localized,GNN-RL,0.2,100,0.2522096608427544,0.06300915868255107,0.0063009158682551065,0.7827931304672741,0.02574027786734108,0.002574027786734108,1.0
